Frame,Alert
114,🚨 Vehicle 94 Overspeeding (61.3 km/h)
120,🚨 Vehicle 70 Overspeeding (151.2 km/h)
123,🚨 Vehicle 108 Overspeeding (69.9 km/h)
138,🚨 Vehicle 142 Overspeeding (77.3 km/h)
174,🚨 Vehicle 169 Overspeeding (68.6 km/h)
483,🚨 Vehicle 315 Overspeeding (65.2 km/h)
501,🚨 Vehicle 319 Overspeeding (83.5 km/h)
603,🚨 Vehicle 353 Overspeeding (84.2 km/h)
1554,🚨 Vehicle 514 Overspeeding (89.5 km/h)
1554,🚨 Vehicle 509 Overspeeding (69.2 km/h)
1746,🚨 Vehicle 560 Overspeeding (60.1 km/h)
1962,🚨 Vehicle 646 Overspeeding (64.5 km/h)
2406,🚨 Vehicle 749 Overspeeding (84.5 km/h)
2682,🚨 Vehicle 772 Overspeeding (65.2 km/h)
2832,🚨 Vehicle 795 Overspeeding (74.2 km/h)
2991,🚨 Vehicle 810 Overspeeding (65.2 km/h)
3588,🚨 Vehicle 1003 Overspeeding (76.7 km/h)
3699,🚨 Vehicle 1086 Overspeeding (73.9 km/h)
3723,🚨 Vehicle 1098 Overspeeding (81.6 km/h)
3741,🚨 Vehicle 1012 Overspeeding (61.4 km/h)
4113,🚨 Vehicle 1174 Overspeeding (61.8 km/h)
4167,🚨 Vehicle 1169 Overspeeding (60.5 km/h)
4185,🚨 Vehicle 1204 Overspeeding (87.4 km/h)
4185,🚨 Vehicle 1205 Overspeeding (95.5 km/h)
4236,🚨 Vehicle 1231 Overspeeding (70.4 km/h)
4389,🚨 Vehicle 1331 Overspeeding (62.9 km/h)
4425,🚨 Vehicle 1316 Overspeeding (60.0 km/h)
4449,🚨 Vehicle 1364 Overspeeding (61.6 km/h)
4671,🚨 Vehicle 1464 Overspeeding (86.7 km/h)
4767,🚨 Vehicle 1525 Overspeeding (76.5 km/h)
4914,🚨 Vehicle 1627 Overspeeding (61.6 km/h)
4938,🚨 Vehicle 1642 Overspeeding (72.6 km/h)
4959,🚨 Vehicle 1653 Overspeeding (69.1 km/h)
5025,🚨 Vehicle 1659 Overspeeding (63.0 km/h)
5076,🚨 Vehicle 1675 Overspeeding (62.6 km/h)
5322,🚨 Vehicle 1796 Overspeeding (64.8 km/h)
5442,🚨 Vehicle 1820 Overspeeding (69.1 km/h)
5442,🚨 Vehicle 1829 Overspeeding (65.0 km/h)
5646,🚨 Vehicle 1895 Overspeeding (62.9 km/h)
5658,🚨 Vehicle 1910 Overspeeding (63.7 km/h)
6369,🚨 Vehicle 2072 Overspeeding (91.4 km/h)
6423,🚨 Vehicle 2103 Overspeeding (62.2 km/h)
6501,🚨 Vehicle 2137 Overspeeding (75.0 km/h)
6807,🚨 Vehicle 2234 Overspeeding (236.7 km/h)
7032,🚨 Vehicle 2248 Overspeeding (62.3 km/h)
7053,🚨 Vehicle 2319 Overspeeding (82.6 km/h)
7131,🚨 Vehicle 2324 Overspeeding (134.1 km/h)
7173,🚨 Vehicle 2328 Overspeeding (67.3 km/h)
7329,🚨 Vehicle 2353 Overspeeding (81.2 km/h)
7386,🚨 Vehicle 2363 Overspeeding (61.6 km/h)
7473,🚨 Vehicle 2382 Overspeeding (73.4 km/h)
7623,🚨 Vehicle 2396 Overspeeding (70.6 km/h)
7677,🚨 Vehicle 2416 Overspeeding (64.4 km/h)
7683,🚨 Vehicle 2419 Overspeeding (115.9 km/h)
7872,🚨 Vehicle 2593 Overspeeding (63.1 km/h)
7947,🚨 Vehicle 2604 Overspeeding (75.6 km/h)
8214,🚨 Vehicle 2745 Overspeeding (73.4 km/h)
8229,🚨 Vehicle 2750 Overspeeding (73.9 km/h)
8229,🚨 Vehicle 2752 Overspeeding (80.3 km/h)
8475,🚨 Vehicle 2823 Overspeeding (68.3 km/h)
8520,🚨 Vehicle 2826 Overspeeding (93.2 km/h)
8757,🚨 Vehicle 2922 Overspeeding (61.3 km/h)
8817,🚨 Vehicle 2953 Overspeeding (88.7 km/h)
8940,🚨 Vehicle 3021 Overspeeding (61.1 km/h)
8952,🚨 Vehicle 3031 Overspeeding (64.2 km/h)
9105,🚨 Vehicle 3072 Overspeeding (60.6 km/h)
9108,🚨 Vehicle 3085 Overspeeding (80.8 km/h)
9114,🚨 Vehicle 3091 Overspeeding (73.4 km/h)
9249,🚨 Vehicle 3133 Overspeeding (77.2 km/h)
9264,🚨 Vehicle 3143 Overspeeding (61.8 km/h)
9294,🚨 Vehicle 3113 Overspeeding (287.0 km/h)
9318,🚨 Vehicle 3162 Overspeeding (65.3 km/h)
9390,🚨 Vehicle 3190 Overspeeding (71.5 km/h)
9399,🚨 Vehicle 3197 Overspeeding (80.9 km/h)
9468,🚨 Vehicle 3229 Overspeeding (62.0 km/h)
9639,🚨 Vehicle 3275 Overspeeding (72.9 km/h)
9648,🚨 Vehicle 3270 Overspeeding (162.1 km/h)
9666,🚨 Vehicle 3281 Overspeeding (70.6 km/h)
9669,🚨 Vehicle 3287 Overspeeding (74.9 km/h)
9669,🚨 Vehicle 3283 Overspeeding (189.0 km/h)
9894,🚨 Vehicle 3332 Overspeeding (61.7 km/h)
10257,🚨 Vehicle 3390 Overspeeding (65.0 km/h)
10278,🚨 Vehicle 3393 Overspeeding (74.2 km/h)
10407,🚨 Vehicle 3401 Overspeeding (80.2 km/h)
10680,🚨 Vehicle 3498 Overspeeding (71.3 km/h)
10794,🚨 Vehicle 3540 Overspeeding (61.6 km/h)
10797,🚨 Vehicle 3539 Overspeeding (66.4 km/h)
