Vehicle_ID,Entry_Frame,Exit_Frame,Max_Speed,Avg_Speed,Status
1,3,75,19.1,12.794117647058824,Normal
2,3,165,44.11,21.290727272727274,Normal
11,24,54,7.37,4.677272727272728,Normal
30,48,48,0.0,0.0,Normal
47,75,120,25.97,20.584375,Normal
71,90,150,48.6,35.83190476190477,Normal
88,105,111,12.07,7.906666666666666,Normal
92,105,186,62.85,42.222500000000004,Overspeeding
104,117,270,75.66,30.051923076923078,Overspeeding
105,117,138,41.34,32.49,Normal
116,123,123,0.0,0.0,Normal
118,126,225,77.59,45.300000000000004,Overspeeding
135,135,186,124.43,97.28333333333333,Overspeeding
146,144,177,8.69,4.7,Normal
160,159,324,87.51,36.46218181818182,Overspeeding
172,168,168,0.0,0.0,Normal
207,189,270,38.37,26.199285714285715,Normal
211,192,294,30.92,20.395714285714288,Normal
218,195,222,8.69,6.723999999999999,Normal
248,261,405,6.48,3.5106122448979593,Normal
250,264,309,6.29,3.89375,Normal
255,279,321,10.42,7.837999999999999,Normal
261,288,324,11.65,8.723846153846154,Normal
264,291,291,0.0,0.0,Normal
267,303,312,51.95,29.9325,Normal
288,339,414,36.55,25.969615384615388,Normal
295,411,447,7.2,4.2,Normal
305,477,543,74.35,57.053999999999995,Overspeeding
309,489,516,83.5,55.4875,Overspeeding
332,579,684,51.17,29.40027777777778,Normal
337,591,633,27.99,22.86,Normal
341,597,747,117.39,45.537843137254896,Overspeeding
342,600,600,0.0,0.0,Normal
347,609,609,0.0,0.0,Normal
353,639,756,35.95,20.224054054054054,Normal
355,675,684,61.8,37.6275,Overspeeding
360,708,759,39.81,31.553333333333335,Normal
361,711,732,11.68,8.075,Normal
364,747,753,5.09,1.6966666666666665,Normal
365,756,759,21.6,10.8,Normal
368,759,759,0.0,0.0,Normal
371,762,765,12.07,6.035,Normal
390,777,810,7.31,4.543333333333333,Normal
391,777,777,0.0,0.0,Normal
395,780,852,7.37,4.4116,Normal
411,813,849,22.11,17.87846153846154,Normal
434,921,960,6.5,3.9364285714285714,Normal
454,963,963,0.0,0.0,Normal
455,969,972,12.07,6.035,Normal
458,975,1032,28.33,22.3915,Normal
488,1401,1677,59.14,16.49838709677419,Normal
490,1488,1494,18.23,10.1,Normal
495,1503,1503,0.0,0.0,Normal
496,1536,1620,52.18,26.280384615384612,Normal
501,1548,1650,115.68,67.17771428571429,Overspeeding
541,1725,1800,62.12,33.6928,Overspeeding
542,1728,1746,6.48,3.6442857142857146,Normal
544,1731,1740,28.01,18.36,Normal
547,1737,2049,99.22,32.46029411764706,Overspeeding
568,1755,1767,24.97,16.916,Normal
602,1791,1836,23.73,19.50625,Normal
628,1884,1896,54.88,34.968,Normal
631,1890,1962,64.52,36.581199999999995,Overspeeding
641,1911,2004,48.11,30.8325,Normal
692,2088,2106,16.15,10.472857142857142,Normal
694,2190,2199,9.22,6.3875,Normal
695,2211,2259,11.45,7.3175,Normal
711,2313,2319,18.23,10.1,Normal
717,2328,2358,33.48,26.969090909090905,Normal
731,2403,2547,180.19,62.33083333333334,Overspeeding
735,2436,2436,0.0,0.0,Normal
742,2469,2592,41.75,23.261190476190478,Normal
751,2673,2781,57.08,30.97810810810811,Normal
753,2679,2874,169.72,52.27246153846154,Overspeeding
754,2679,2679,0.0,0.0,Normal
775,2826,2961,145.09,60.36086956521739,Overspeeding
777,2847,2850,12.07,6.035,Normal
784,2919,2931,9.15,5.430000000000001,Normal
785,2973,2976,12.07,6.035,Normal
787,2985,3081,76.13,43.04727272727273,Overspeeding
800,3054,3291,89.53,30.35,Overspeeding
810,3069,3315,16.71,10.548,Normal
811,3072,3078,13.14,6.926666666666667,Normal
821,3081,3222,39.22,25.86953488372093,Normal
